Time Step: 0, Visible Satellites: 9
Satellite 9 - x: 21854764.780056637, y: -8450796.114768418, z: -12528820.47261477, Azimuth: -28.63, Elevation: -35.38, r_Earth: 26571000.00, theta_Earth: 338.86, phi_Earth: 118.13, r_Receiver: 21636410.73, theta_Receiver: 331.37, phi_Receiver: -35.38
Satellite 15 - x: 13592942.232134657, y: -22824677.494169105, z: -532972.5706078836, Azimuth: -72.44, Elevation: -1.28, r_Earth: 26571000.00, theta_Earth: 300.78, phi_Earth: 91.15, r_Receiver: 23945905.96, theta_Receiver: 287.56, phi_Receiver: -1.28
Satellite 16 - x: 18369514.749899358, y: -13769933.708083572, z: -13377888.268639922, Azimuth: -48.93, Elevation: -36.22, r_Earth: 26571000.00, theta_Earth: 323.14, phi_Earth: 120.23, r_Receiver: 22639419.72, theta_Receiver: 311.07, phi_Receiver: -36.22
Satellite 17 - x: 16126408.901302177, y: 546816.5639055016, z: -21110612.700569365, Azimuth: 3.21, Elevation: -65.16, r_Earth: 26571000.00, theta_Earth: 1.94, phi_Earth: 142.61, r_Receiver: 23262093.19, theta_Receiver: 3.21, phi_Receiver: -65.16
Satellite 23 - x: 16557673.452906653, y: 658512.8492973075, z: 20770841.380507935, Azimuth: 3.70, Elevation: 63.83, r_Earth: 26571000.00, theta_Earth: 2.28, phi_Earth: 38.58, r_Receiver: 23143677.47, theta_Receiver: 3.70, phi_Receiver: 63.83
Satellite 24 - x: 18239323.335869174, y: 14743325.258225674, z: 12489174.735737475, Azimuth: 51.17, Elevation: 33.42, r_Earth: 26571000.00, theta_Earth: 38.95, phi_Earth: 61.96, r_Receiver: 22676027.52, theta_Receiver: 51.17, phi_Receiver: 33.42
Satellite 25 - x: 12951045.859232675, y: 23194161.87778415, z: -565072.5079107779, Azimuth: 74.16, Elevation: -1.34, r_Earth: 26571000.00, theta_Earth: 60.82, phi_Earth: 91.22, r_Receiver: 24116082.93, theta_Receiver: 74.16, phi_Receiver: -1.34
Time Step: 6, Visible Satellites: 9
Satellite 0 - x: 26561752.508555636, y: 391971.75895010383, z: 581122.0305787084, Azimuth: 1.11, Elevation: 1.65, r_Earth: 26571000.00, theta_Earth: 0.85, phi_Earth: 88.75, r_Receiver: 20202916.41, theta_Receiver: 1.11, phi_Receiver: 1.65
Satellite 1 - x: 21074536.655406266, y: 9049288.430083238, z: 13416121.819255343, Azimuth: 31.61, Elevation: 37.85, r_Earth: 26571000.00, theta_Earth: 23.24, phi_Earth: 59.67, r_Receiver: 21864947.65, theta_Receiver: 31.61, phi_Receiver: 37.85
Satellite 9 - x: 21920642.335590348, y: -8397273.067072235, z: -12449469.291184561, Azimuth: -28.37, Elevation: -35.16, r_Earth: 26571000.00, theta_Earth: 339.04, phi_Earth: 117.94, r_Receiver: 21617003.89, theta_Receiver: 331.63, phi_Receiver: -35.16
Satellite 15 - x: 13647660.162586551, y: -22789546.594309554, z: -629268.7123492623, Azimuth: -72.29, Elevation: -1.51, r_Earth: 26571000.00, theta_Earth: 300.92, phi_Earth: 91.36, r_Receiver: 23931343.38, theta_Receiver: 287.71, phi_Receiver: -1.51
Satellite 16 - x: 18378761.396307204, y: -13682880.472231641, z: -13454291.230690304, Azimuth: -48.73, Elevation: -36.47, r_Earth: 26571000.00, theta_Earth: 323.33, phi_Earth: 120.42, r_Receiver: 22636817.45, theta_Receiver: 311.27, phi_Receiver: -36.47
Satellite 17 - x: 16086650.774369478, y: 652525.8396744124, z: -21137926.054654345, Azimuth: 3.84, Elevation: -65.27, r_Earth: 26571000.00, theta_Earth: 2.32, phi_Earth: 142.70, r_Receiver: 23272979.57, theta_Receiver: 3.84, phi_Receiver: -65.27
Satellite 23 - x: 16593555.738890307, y: 764208.8795654756, z: 20738561.51541697, Azimuth: 4.28, Elevation: 63.70, r_Earth: 26571000.00, theta_Earth: 2.64, phi_Earth: 38.69, r_Receiver: 23133797.67, theta_Receiver: 4.28, phi_Receiver: 63.70
Satellite 24 - x: 18225735.431468774, y: 14826997.250097904, z: 12409704.328778062, Azimuth: 51.36, Elevation: 33.17, r_Earth: 26571000.00, theta_Earth: 39.13, phi_Earth: 62.16, r_Receiver: 22679844.82, theta_Receiver: 51.36, phi_Receiver: 33.17
Satellite 25 - x: 12893180.21073013, y: 23223835.63492414, z: -661364.8430820316, Azimuth: 74.31, Elevation: -1.57, r_Earth: 26571000.00, theta_Earth: 60.96, phi_Earth: 91.43, r_Receiver: 24131365.06, theta_Receiver: 74.31, phi_Receiver: -1.57
Time Step: 7, Visible Satellites: 9
Satellite 0 - x: 26558433.2592521, y: 456920.423595672, z: 677412.3857392512, Azimuth: 1.30, Elevation: 1.92, r_Earth: 26571000.00, theta_Earth: 0.99, phi_Earth: 88.54, r_Receiver: 20203963.11, theta_Receiver: 1.30, phi_Receiver: 1.92
Satellite 1 - x: 21003568.32991884, y: 9100736.230765972, z: 13492396.320463387, Azimuth: 31.88, Elevation: 38.06, r_Earth: 26571000.00, theta_Earth: 23.43, phi_Earth: 59.48, r_Receiver: 21885616.61, theta_Receiver: 31.88, phi_Receiver: 38.06
Satellite 9 - x: 21986100.702806298, y: -8343589.438371308, z: -12369880.038624438, Azimuth: -28.12, Elevation: -34.94, r_Earth: 26571000.00, theta_Earth: 339.22, phi_Earth: 117.75, r_Receiver: 21597703.28, theta_Receiver: 331.88, phi_Receiver: -34.94
Satellite 15 - x: 13702117.108911367, y: -22753979.890081078, z: -725552.820588661, Azimuth: -72.14, Elevation: -1.74, r_Earth: 26571000.00, theta_Earth: 301.06, phi_Earth: 91.56, r_Receiver: 23916841.47, theta_Receiver: 287.86, phi_Receiver: -1.74
Satellite 16 - x: 18387656.58576619, y: -13595565.578734854, z: -13530436.906406585, Azimuth: -48.53, Elevation: -36.71, r_Earth: 26571000.00, theta_Earth: 323.52, phi_Earth: 120.61, r_Receiver: 22634313.81, theta_Receiver: 311.47, phi_Receiver: -36.71
Satellite 17 - x: 16046585.02250621, y: 758222.6371954312, z: -21164835.18830052, Azimuth: 4.48, Elevation: -65.37, r_Earth: 26571000.00, theta_Earth: 2.71, phi_Earth: 142.80, r_Receiver: 23283945.02, theta_Receiver: 4.48, phi_Receiver: -65.37
Satellite 23 - x: 16629120.70640266, y: 869890.2958716123, z: 20705885.066932995, Azimuth: 4.85, Elevation: 63.56, r_Earth: 26571000.00, theta_Earth: 2.99, phi_Earth: 38.81, r_Receiver: 23124001.08, theta_Receiver: 4.85, phi_Receiver: 63.56
Satellite 24 - x: 18211798.996434163, y: 14910385.705386693, z: 12329996.611113885, Azimuth: 51.55, Elevation: 32.93, r_Earth: 26571000.00, theta_Earth: 39.31, phi_Earth: 62.35, r_Receiver: 22683759.37, theta_Receiver: 51.55, phi_Receiver: 32.93
Satellite 25 - x: 12835068.006016301, y: 23253065.28278836, z: -757644.5309771809, Azimuth: 74.46, Elevation: -1.80, r_Earth: 26571000.00, theta_Earth: 61.10, phi_Earth: 91.63, r_Receiver: 24146702.58, theta_Receiver: 74.46, phi_Receiver: -1.80
Time Step: 8, Visible Satellites: 9
